endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20250330-01:17:59-13444),
1.817599762,0.26878626
1.869349762,0.30053626
1.921099762,0.33228626
2.434599762,0.82578626
2.486349762,0.85753626
2.671849762,1.02303626
2.735349762,1.06653626
2.920849762,1.23203626
2.972599762,1.26378626
3.158099762,1.42928626
3.209849762,1.46103626
3.395349762,1.62653626
3.447099762,1.65828626
3.632599762,1.82378626
3.684349762,1.85553626
3.869849762,2.02103626
3.921599762,2.05278626
4.107099762,2.21828626
4.158849762,2.25003626
4.344349762,2.41553626
4.396099762,2.44728626
4.581599762,2.61278626
4.633349762,2.64453626
4.818849762,2.81003626
4.870599762,2.84178626
5.056099762,3.00728626
5.107849762,3.03903626
8.102099762,5.161481941
8.287599762,5.326981941
8.339349762,5.358731941
8.524849762,5.524231941
8.576599762,5.555981941
8.762099762,5.721481941
8.813849762,5.753231941
8.999349762,5.918731941
9.987349762,6.632068854
10.03909976,6.663818854
10.22459976,6.829318854
10.30984976,6.894568854
10.62984976,7.194568854
10.71034976,7.255068854
11.01984976,7.544568854
11.10334976,7.608068854
11.37209976,7.856818854
11.45559976,7.920318854
11.67884976,8.123568854
11.73059976,8.155318854
11.91609976,8.320818854
11.96784976,8.352568854
12.15334976,8.518068854
12.20509976,8.549818854
12.39059976,8.715318854
12.44234976,8.747068854
12.62784976,8.912568854
12.67959976,8.944318854
12.86509976,9.109818854
12.91684976,9.141568854
13.10234976,9.307068854
13.15409976,9.338818854
13.33959976,9.504318854
13.39134976,9.536068854
13.57684976,9.701568854
13.62859976,9.733318854
13.81409976,9.898818854
13.86584976,9.930568854
14.05134976,10.09606885
14.10309976,10.12781885
14.28859976,10.29331885
14.34034976,10.32506885
14.52584976,10.49056885
14.57759976,10.52231885
14.62934976,10.53406885
14.81484976,10.53956885
14.86659976,10.53131885
15.18584976,10.61056885
15.60334976,10.62806885
17.83759976,1.649163733
18.42434976,2.215913733
18.60984976,2.381413733
19.21809976,2.969663733
19.32159976,3.053163733
22.51959976,5.989452455
22.62309976,6.072952455
23.23134976,6.661202455
23.28309976,6.692952455
23.86984976,7.259702455
24.05534976,7.425202455
24.64209976,7.991952455
24.69384976,8.023702455
25.28059976,8.590452455
25.46609976,8.755952455
26.05284976,9.322702455
26.10459976,9.354452455
26.69134976,9.921202455
26.87684976,10.08670245
27.46359976,10.65345245
27.51534976,10.68520245
28.10209976,11.25195245
28.28759976,11.41745245
28.87434976,11.98420245
28.92609976,12.01595245
29.51284976,12.58270245
29.69834976,12.74820245
30.28509976,13.31495245
30.48934976,13.49920245
36.24909976,8.115173067
36.56834976,8.414423067
48.30084976,18.34973265
51.11084976,20.54240344
51.53434976,20.86590344
51.85359976,21.14515344
52.30659976,21.49815344
52.35834976,21.52990344
52.67759976,21.82915344
52.72934976,21.54090344
53.31609976,21.45892301
53.36784976,21.47067301
53.55334976,21.45617301
53.73884976,21.24167301
53.92434976,20.98717301
55.44734976,21.14184914
