endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp2DropTailWithPolicingAndShaping-0-20250330-01:11:38-15176),
1.817599762,0.26878626
1.869349762,0.30053626
1.921099762,0.33228626
2.434599762,0.82578626
2.486349762,0.85753626
2.671849762,1.02303626
2.735349762,1.06653626
2.920849762,1.23203626
2.972599762,1.26378626
3.158099762,1.42928626
3.209849762,1.46103626
3.395349762,1.62653626
3.447099762,1.65828626
3.632599762,1.82378626
3.684349762,1.85553626
3.869849762,2.02103626
3.921599762,2.05278626
4.107099762,2.21828626
4.158849762,2.25003626
4.210599762,2.28178626
4.305349762,2.31653626
4.490849762,2.48203626
4.728099762,2.67928626
7.834599762,4.893981941
7.959599762,4.998981941
8.011349762,5.030731941
8.196849762,5.196231941
8.434099762,5.393481941
8.671349762,5.590731941
9.853599762,6.498318854
10.13384976,6.698568854
10.84559976,7.290318854
11.08284976,7.487568854
11.32009976,7.684818854
11.55734976,7.882068854
11.60909976,7.913818854
11.79459976,8.079318854
12.03184976,8.276568854
12.26909976,8.473818854
12.50634976,8.671068854
12.74359976,8.868318854
12.79534976,8.900068854
12.98084976,9.065568854
13.21809976,9.262818854
13.45534976,9.460068854
13.69259976,9.657318854
13.74434976,9.689068854
13.98159976,9.706318854
14.35259976,9.777318854
14.99984976,10.02456885
16.49647229,0.42803626
17.19159976,1.103163733
17.45034976,1.321913733
17.95022229,1.76178626
18.47022229,2.24178626
18.87147229,2.62303626
18.94472229,2.67628626
22.22797229,5.597824982
22.37447229,5.724324982
22.44772229,5.777574982
23.17697229,6.466824982
23.32347229,6.593324982
23.39672229,6.646574982
24.27247229,7.462324982
24.34572229,7.515574982
25.25897229,8.368824982
25.33222229,8.422074982
25.91084976,8.980702455
26.20797229,9.237824982
26.28122229,9.291074982
29.37490712,1.220980421
38.03090712,7.905704568
39.95515712,9.386710798
40.34051283,9.732066516
40.56340712,9.914960798
40.80065712,10.1122108
40.98615712,10.2777108
41.17901813,10.45057181
41.40890712,10.6404608
41.64615712,10.8377108
42.01715712,11.1687108
42.06890712,11.2004608
43.25115712,11.15398037
43.42790712,11.05073037
45.37365712,11.06815649
45.43915712,10.99365649
45.49090712,10.90540649
45.66265712,10.81715649
45.84815712,10.82265649
46.68090712,11.06331515
46.73265712,10.83506515
49.25640712,10.75566535
50.08915712,10.79145958
52.54840712,11.40155985
52.67340712,11.42655985
52.72515712,11.33830985
52.91065712,11.42380985
53.14790712,11.34105985
53.86840712,11.34670154
54.56740712,11.33900529
55.58965712,11.00960959
55.77515712,10.93510959
55.82690712,10.84685959
56.01240712,10.85235959
56.24965712,10.84960959
57.03065712,11.20704992
57.08240712,10.93879992
63.34840712,11.25371294
63.47340712,11.05871294
64.46140712,11.38933293
64.51315712,11.30108293
64.61665712,11.14458293
64.82365712,10.97158293
69.50490712,12.24266668
71.96415712,12.15499055
72.63290712,12.01853217
72.72765712,11.79328217
73.37490712,11.89217198
77.96540712,12.55451745
78.01715712,12.20626745
78.21540712,12.08414404
