endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20250330-01:09:53-16808),
1.817599762,0.26878626
1.869349762,0.30053626
1.921099762,0.33228626
1.972849762,0.36403626
2.024599762,0.39578626
2.076349762,0.42753626
2.128099762,0.45928626
2.179849762,0.49103626
2.231599762,0.52278626
2.283349762,0.55453626
7.879349762,6.13053626
7.931099762,6.16228626
7.982849762,6.19403626
8.047349762,6.15853626
13.62484976,11.67603626
13.79009976,11.76128626
13.94534976,11.00473194
19.64484976,16.62423194
19.86259976,16.46731885
25.52309976,22.00781885
25.67834976,22.10306885
31.29584976,27.64056885
31.54584976,27.77056885
31.70109976,27.86581885
37.43084976,33.57556885
37.48259976,33.56731885
37.62134976,31.67113077
43.02309976,35.3403212
43.07484976,35.3320712
43.12659976,35.3438212
43.28184976,35.0790712
43.43709976,34.6943212
46.94484976,32.96682204
46.99659976,32.35857204
52.73034976,36.62191373
52.78209976,35.99195245
52.91709976,34.38516432
55.40659976,36.61466432
55.50134976,36.16063107
55.65659976,36.05588107
61.54284976,37.76599215
65.97809976,41.01238247
66.18509976,40.81938247
66.39209976,39.025683
70.49934976,39.31090344
70.65459976,38.09742301
72.42359976,39.46642301
72.64334976,36.4657578
74.92984976,33.64300249
75.08509976,33.25825249
79.07609976,36.57439419
79.32609976,36.09769793
79.48134976,35.38810623
81.73359976,36.45355223
82.65234976,36.20044321
82.76859976,31.34540942
82.92384976,30.62915558
85.97859976,33.52390558
86.03034976,33.53565558
86.12509976,32.83302558
86.28034976,32.58827558
90.56034976,30.60298217
90.65509976,29.88072482
90.86209976,29.68772482
92.63109976,31.28836463
92.68284976,31.30011463
92.82934976,28.8555595
95.62934976,29.9184601
95.68109976,29.9102101
95.73284976,29.60158669
95.88809976,29.38885078
96.09509976,26.23934642
98.28684976,28.31109642
98.49384976,28.10437652
98.64909976,27.07803373
100.0080998,27.62645273
100.1115998,27.49182436
100.4738498,26.25360447
102.1910998,27.41701567
102.4763498,23.84741722
108.1240998,29.31516722
108.1758498,29.16691722
108.2920998,27.54977591
113.8060998,32.66377591
113.8578498,32.61552591
113.9095998,32.60727591
114.1733498,32.25102591
119.8210998,36.96291061
119.8728498,36.49466061
119.9373498,34.81372294
125.8223498,38.98644161
125.8740998,36.62919637
125.9600998,35.89519637
127.9965998,37.65169637
128.0483498,37.05960132
128.2163498,36.03453398
128.4018498,36.10003398
128.5570998,35.05473673
128.8675998,33.63903976
133.3330998,37.95953995
133.5400998,37.80653995
133.6953498,36.19529771
137.2548498,39.23479771
137.3193498,38.81929771
143.2560998,43.35707493
143.3078498,43.14315757
143.3595998,42.83490757
146.3148498,43.77102421
146.4310998,33.62294213
146.5863498,31.75793281
151.1338498,35.64543281
156.8978498,39.27126288
156.9495998,38.66068956
157.0960998,38.26718956
157.2513498,35.36942404
161.3068498,36.34420048
161.4620998,36.11945048
163.5503498,37.90770048
163.6020998,37.57945048
163.7700998,36.41840794
168.1623498,40.67065794
